index,Company,TypeName,Inches,ScreenResolution,cpu_brand,cpu_name,cpu_speed,Ram,Memory,gpu_brand,gpu_name,OpSys,Weight,Price
173,Toshiba,Notebook,15.60,1366x768,Intel, Core i3 7100U ,2.4,4.0,500GB HDD,Intel, HD Graphics 620,windows,5.40,26054
174,HP,Notebook,17.30,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Nvidia, GeForce 930MX,windows,2.50,49177
175,Dell,Notebook,15.60,1366x768,Intel, Core i3 7100U ,2.4,8.0,1TB HDD,Intel, HD Graphics 620,windows,2.30,24456
176,Acer,Notebook,15.60,1366x768,Intel, Core i3 6006U ,2.0,4.0,128GB SSD,Intel, HD Graphics 520,windows,2.10,23923
177,MSI,Gaming,18.40,Full HD 1920x1080,Intel, Core i7 6920HQ ,2.9,32.0,512GB SSD +  1TB HDD,Nvidia, GTX 980 SLI,windows,4.40,149131
178,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,128GB SSD +  1TB HDD,AMD, R17M-M1-70,windows,1.90,43317
179,HP,2 in 1 Convertible,13.30,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.30,79867
180,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,16.0,256GB SSD +  2TB HDD,AMD, Radeon 530,linux,2.00,55891
181,Dell,Ultrabook,13.30,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.20,74539
182,Lenovo,2 in 1 Convertible,13.90,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel, Core i7 8550U ,1.8,16.0,512GB SSD,Intel, UHD Graphics 620,windows,1.40,98515
183,Toshiba,Notebook,15.60,1366x768,Intel, Core i5 7200U ,2.5,8.0,128GB SSD,Intel, HD Graphics 620,windows,2.00,42251
184,Xiaomi,Notebook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Nvidia, GeForce MX150,N/A,2.00,63883
185,Dell,Notebook,17.30,Full HD / Touchscreen 1920x1080,Intel, Core i7 8550U ,1.8,16.0,512GB SSD,Nvidia, GeForce 150MX,windows,2.80,82531
186,Dell,Notebook,15.60,4K Ultra HD / Touchscreen 3840x2160,Intel, Core i7 7700HQ ,2.8,16.0,512GB SSD,Nvidia, GeForce GTX 1050,windows,2.10,127712
187,Lenovo,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i5 7300HQ ,2.5,8.0,256GB SSD,Nvidia, GeForce GTX 1050,N/A,2.40,41505
188,Acer,Ultrabook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i5 7Y54 ,1.2,8.0,256GB SSD,Intel, HD Graphics 615,windows,1.10,52694
189,Dell,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,128GB SSD +  1TB HDD,AMD, Radeon 530,windows,2.80,57809
191,Vero,Notebook,14.00,IPS Panel Full HD 1920x1080,Intel, Celeron Dual Core N3350 ,1.1,4.0,32GB Flash Storage,Intel, HD Graphics 500,windows,1.30,13853
192,Xiaomi,Ultrabook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Nvidia, GeForce MX150,N/A,1.30,53275
193,Lenovo,Notebook,17.30,1600x900,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Nvidia, GeForce MX150,N/A,2.80,37189
194,Dell,2 in 1 Convertible,13.30,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i7 8550U ,1.8,8.0,1TB HDD,Intel, UHD Graphics 620,windows,1.60,44702
195,HP,Notebook,17.30,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,1TB HDD,Nvidia, GeForce 930MX,windows,2.50,48698
196,Razer,Gaming,17.30,4K Ultra HD / Touchscreen 3840x2160,Intel, Core i7 7820HK ,2.9,32.0,1TB SSD,Nvidia, GeForce GTX 1080,windows,3.50,324955
197,HP,Notebook,13.30,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,512GB SSD,Intel, UHD Graphics 620,windows,1.50,51096
198,HP,Gaming,17.30,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050,windows,3.40,73473
199,HP,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Nvidia, GeForce 930MX ,windows,2.50,55678
200,Dell,Gaming,15.60,IPS Panel 4K Ultra HD 3840x2160,Intel, Core i7 7700HQ ,2.8,16.0,512GB SSD +  1TB HDD,Nvidia, GeForce GTX 1060,windows,2.70,98302
201,Lenovo,Notebook,15.60,1366x768,Intel, Core i5 6200U ,2.3,4.0,128GB SSD,Intel, HD Graphics 520,windows,2.10,26267
202,Acer,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,1TB HDD,Nvidia, GeForce 940MX,windows,2.20,39534
203,Lenovo,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,512GB SSD +  1TB HDD,Nvidia, GeForce GTX 1060,windows,3.20,93187
204,Dell,Workstation,15.60,4K Ultra HD 3840x2160,Intel, Xeon E3-1505M V6 ,3.0,16.0,256GB SSD +  1TB HDD,Nvidia, Quadro M1200,windows,2.80,162770
205,Lenovo,Gaming,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,512GB SSD,Nvidia, GeForce GTX 1060,N/A,2.40,74485
206,Dell,Notebook,15.60,Touchscreen 1366x768,Intel, Core i3 7100U ,2.4,6.0,1TB HDD,Intel, HD Graphics 620,windows,2.30,23390
207,Dell,Ultrabook,13.30,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.20,103843
210,Acer,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,1TB HDD,Nvidia, GeForce GTX 1050,linux,2.40,41505
211,Asus,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050,windows,2.90,74965
212,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,500GB HDD,Intel, HD Graphics 520,N/A,2.10,18595
213,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,N/A,2.20,29251
214,Huawei,Ultrabook,13.00,IPS Panel Full HD 2160x1440,Intel, Core i7 7500U ,2.7,8.0,512GB SSD,Intel, HD Graphics 620,windows,1.10,79867
215,Dell,Ultrabook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,AMD, Radeon 530,windows,1.40,49651
216,Lenovo,Notebook,17.30,1600x900,Intel, Core i5 7200U ,2.5,8.0,1TB HDD,Nvidia, GeForce GTX 940MX,N/A,2.80,31382
217,HP,Notebook,14.00,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Nvidia, GeForce 930MX,windows,1.60,54932
218,Dell,Ultrabook,14.00,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.60,61219
219,Dell,2 in 1 Convertible,13.30,Full HD / Touchscreen 1920x1080,Intel, Core i7 8550U ,1.8,16.0,512GB SSD,Intel, UHD Graphics 620,windows,1.60,68145
220,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,AMD, Radeon 520,linux,2.20,36089
221,Lenovo,2 in 1 Convertible,14.00,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.70,47899
222,Toshiba,Ultrabook,13.30,Full HD 1920x1080,Intel, Core i7 6500U ,2.5,8.0,256GB SSD,Intel, HD Graphics 520,windows,1.20,72621
223,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,1TB HDD,Intel, UHD Graphics 620,windows,2.10,42304
224,Dell,Gaming,17.30,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1060,windows,4.40,130874
225,Acer,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Nvidia, GeForce 940MX,windows,2.20,44329
226,Dell,Notebook,15.60,Full HD / Touchscreen 1920x1080,Intel, Core i7 7500U ,2.7,16.0,1TB HDD,AMD, Radeon R7 M445,windows,2.30,45768
227,Asus,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Nvidia, GeForce 920MX ,windows,2.00,40972
228,Asus,Notebook,17.30,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD +  500GB HDD,Nvidia, GeForce GTX 950M,windows,2.70,47472
229,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,1TB HDD,AMD, FirePro W4190M ,windows,1.90,67612
230,Asus,Notebook,15.60,1366x768,Intel, Core i3 7100U ,2.4,4.0,1TB HDD,Intel, HD Graphics 620,windows,2.40,21258
231,HP,Notebook,15.60,1366x768,AMD, E-Series 9000e ,1.5,4.0,500GB HDD,AMD, Radeon R2,windows,2.10,17582
232,Lenovo,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1060,windows,3.20,79867
233,Dell,Notebook,14.00,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.60,45768
234,Acer,2 in 1 Convertible,13.30,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i5 6200U ,2.3,8.0,256GB SSD,Intel, HD Graphics 520,windows,1.60,36710
235,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,16.0,256GB SSD,AMD, Radeon R7 M445,linux,2.40,47899
236,Acer,Notebook,15.60,1366x768,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,Intel, HD Graphics 520,linux,2.10,20779
237,Asus,Notebook,15.60,Full HD 1920x1080,AMD, A10-Series A10-9620P ,2.5,4.0,128GB SSD +  1TB HDD,AMD, Radeon R5 M430,windows,2.20,30636
238,Asus,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7820HK ,2.9,32.0,512GB SSD +  1TB HDD,Nvidia, GeForce GTX 1080,windows,4.70,207259
239,Acer,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i5 7300HQ ,2.5,8.0,256GB SSD,Nvidia, GeForce GTX 1050,windows,2.50,45075
240,Lenovo,Notebook,15.60,1366x768,Intel, Core i3 6006U ,2.0,8.0,128GB SSD,Intel, HD Graphics 520,windows,7.20,31382
241,Asus,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,128GB SSD +  1TB HDD,Nvidia, GeForce 150MX,windows,2.10,61006
242,Asus,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,128GB SSD +  1TB HDD,Nvidia, GeForce GTX 950M,N/A,2.70,47366
243,Dell,Gaming,15.60,Full HD 1920x1080,Intel, Core i5 7300HQ ,2.5,8.0,256GB SSD,Nvidia, GeForce GTX 1050,windows,2.60,46833
244,Lenovo,2 in 1 Convertible,13.90,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.40,57489
245,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,128GB SSD +  2TB HDD,AMD, Radeon 530,windows,2.20,52481
246,HP,Notebook,15.60,Touchscreen 1366x768,Intel, Core i5 7200U ,2.5,8.0,1TB HDD,Intel, HD Graphics 620,windows,2.00,29784
247,Asus,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7820HK ,2.9,16.0,256GB SSD,Nvidia, GeForce GTX 1080,windows,3.60,159787
248,HP,Notebook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,4.0,500GB HDD,Intel, UHD Graphics 620,windows,1.50,35964
249,Apple,Ultrabook,13.30,IPS Panel Retina Display 2560x1600,Intel, Core i5 ,3.1,8.0,512GB SSD,Intel, Iris Plus Graphics 650,mac,1.40,108691
250,Dell,2 in 1 Convertible,15.60,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i7 8550U ,1.8,8.0,1TB HDD,Intel, UHD Graphics 620,windows,2.10,43636
251,Asus,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 980M,windows,4.30,95851
252,Asus,Notebook,15.60,1366x768,AMD, A9-Series 9420 ,3.0,4.0,1TB HDD,AMD, Radeon R5 M420,windows,1.70,24988
253,Lenovo,2 in 1 Convertible,13.90,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i7 8550U ,1.8,8.0,512GB SSD,Intel, UHD Graphics 620,windows,1.40,98515
254,Acer,Notebook,17.30,IPS Panel Full HD 1920x1080,Intel, Core i3 7130U ,2.7,4.0,256GB SSD,Nvidia, GeForce MX130,windows,3.00,37403
255,Dell,Ultrabook,13.30,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.40,50563
256,HP,Notebook,15.60,1366x768,AMD, A6-Series A6-9220 ,2.5,8.0,128GB SSD,AMD, Radeon R4 Graphics,windows,1.90,23758
257,HP,Notebook,17.30,IPS Panel Full HD 1920x1080,Intel, Core i7 8550U ,1.8,16.0,1TB HDD,Nvidia, GeForce MX150,windows,2.90,56424
258,MSI,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,512GB SSD +  1TB HDD,Nvidia, GeForce GTX 1070,windows,4.10,133147
259,Lenovo,2 in 1 Convertible,15.60,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,512GB SSD,Nvidia, GeForce GTX 1050M,windows,2.00,90523
260,Dell,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,128GB SSD +  1TB HDD,AMD, Radeon 530,windows,2.80,60846
261,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,256GB SSD,Intel, HD Graphics 520,N/A,2.20,23656
262,HP,Notebook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,4.0,500GB HDD,Intel, HD Graphics 620,windows,2.10,38468
263,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,4.0,1TB HDD,Intel, HD Graphics 620,windows,2.20,35005
264,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,1TB HDD,AMD, Radeon R5 M430,windows,2.20,30103
265,Dell,2 in 1 Convertible,15.60,Full HD / Touchscreen 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,2.70,42571
266,Asus,2 in 1 Convertible,13.30,Full HD / Touchscreen 1920x1080,Intel, Core i7 8550U ,1.8,8.0,512GB SSD +  512GB SSD,Intel, UHD Graphics 620,windows,4.10,79867
268,HP,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,1TB HDD,Nvidia, GeForce 930MX ,windows,2.50,54239
269,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Intel, UHD Graphics 620,windows,2.10,46886
270,Apple,Ultrabook,13.30,IPS Panel Retina Display 2560x1600,Intel, Core i5 ,2.9,8.0,512GB SSD,Intel, Iris Graphics 550,mac,1.40,104370
271,Asus,Gaming,17.30,Full HD 1920x1080,AMD, Ryzen 1700 ,3.0,16.0,256GB SSD +  1TB HDD,AMD, Radeon RX 580,windows,3.20,82531
272,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,AMD, Radeon 520,linux,2.10,39165
273,Lenovo,2 in 1 Convertible,14.00,Touchscreen 2560x1440,Intel, Core i7 6600U ,2.6,16.0,512GB SSD,Intel, HD Graphics 520,windows,1.40,133147
274,Toshiba,Notebook,15.60,1366x768,Intel, Core i7 6500U ,2.5,8.0,500GB HDD,Nvidia, GeForce 930M,windows,2.20,43263
275,Dell,Notebook,15.60,1366x768,Intel, Core i7 7500U ,2.7,12.0,1TB HDD,Intel, HD Graphics 620,windows,2.30,37992
276,Dell,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,128GB SSD +  1TB HDD,AMD, Radeon 530,linux,2.80,58555
277,Acer,Notebook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,1TB HDD,Nvidia, GeForce MX130,windows,2.20,39694
278,Lenovo,Notebook,17.30,1600x900,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,Intel, HD Graphics 520,windows,2.80,26054
279,Lenovo,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,2TB HDD,Nvidia, GeForce MX150,N/A,2.80,45235
280,Lenovo,Notebook,17.30,1600x900,Intel, Core i7 7500U ,2.7,6.0,128GB SSD +  1TB HDD,Nvidia, GeForce 940MX,windows,2.80,45768
281,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,AMD, Radeon R5 M430,linux,2.30,22804
282,Lenovo,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i5 7300HQ ,2.5,8.0,256GB SSD,Nvidia, GeForce GTX 1050,windows,2.50,44169
283,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,6.0,256GB SSD,Intel, HD Graphics 620,windows,2.20,30849
284,Acer,Notebook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Nvidia, GeForce MX150,windows,3.00,50669
285,Acer,Notebook,15.60,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i7 7500U ,2.7,12.0,1TB HDD,Intel, HD Graphics 620,windows,2.20,35112
286,Lenovo,Notebook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Intel, HD Graphics 630,windows,2.00,58448
287,Asus,Ultrabook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Nvidia, GeForce 940MX,windows,1.70,52055
288,Lenovo,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050 Ti,windows,2.50,62817
289,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,1TB HDD,Nvidia, GeForce 940MX,N/A,2.20,35112
290,Acer,Notebook,15.60,1366x768,Intel, Celeron Dual Core 3205U ,1.5,2.0,16GB SSD,Intel, HD Graphics,other,2.20,10603
291,Asus,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,1TB HDD,Nvidia, GeForce GTX 1050,windows,3.00,63243
292,HP,Notebook,17.30,1600x900,Intel, Core i3 6006U ,2.0,8.0,1TB HDD,Intel, HD Graphics 520,windows,2.50,26054
293,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,256GB SSD,Nvidia, GeForce GTX 1050,windows,2.00,97449
294,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,2.10,39374
295,Lenovo,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,1TB HDD,Nvidia, GeForce GTX 1060,windows,3.20,69211
296,Acer,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,256GB SSD,Nvidia, GeForce GTX 1050 Ti,linux,2.50,52161
297,Dell,Workstation,17.30,Full HD 1920x1080,Intel, Core i7 7820HQ ,2.9,16.0,256GB SSD,Nvidia, Quadro M1200,windows,3.40,153705
298,Lenovo,Notebook,15.60,Full HD 1920x1080,AMD, A10-Series 9600P ,2.4,6.0,1TB HDD,AMD, Radeon R5 430,windows,2.40,26587
299,Asus,Ultrabook,15.60,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,16.0,512GB SSD,Nvidia, GeForce 940MX,windows,1.60,78215
300,Asus,Notebook,14.00,1366x768,Intel, Core i3 7100U ,2.4,4.0,128GB SSD,Intel, HD Graphics 620,windows,1.30,27120
301,Asus,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1070,windows,2.90,113060
302,Lenovo,Notebook,17.30,1600x900,Intel, Core i5 7200U ,2.5,6.0,1TB HDD,Nvidia, GeForce GTX 940M,windows,5.80,34579
303,Lenovo,Notebook,15.60,1366x768,Intel, Core i5 7200U ,2.5,8.0,2TB HDD,Nvidia, GeForce 940MX,N/A,2.20,29251
304,Asus,Gaming,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,128GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050 Ti,windows,2.50,67399
305,Lenovo,Notebook,15.60,1366x768,Intel, Pentium Quad Core N4200 ,1.1,4.0,1TB HDD,Intel, HD Graphics 505,N/A,2.20,19180
306,HP,2 in 1 Convertible,13.30,Full HD / Touchscreen 1920x1080,Intel, Core i7 7600U ,2.8,16.0,256GB SSD,Intel, HD Graphics 620,windows,1.30,105228
307,Toshiba,Notebook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 6500U ,2.5,8.0,256GB SSD,Nvidia, GeForce 930M,windows,2.20,55571
308,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,128GB SSD +  1TB HDD,Nvidia, GeForce 940MX,windows,2.30,43636
309,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,Intel, HD Graphics 520,windows,1.90,24988
310,Lenovo,Notebook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.10,53227
311,Dell,Ultrabook,13.30,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel, Core i7 8550U ,1.8,16.0,1TB SSD,Intel, UHD Graphics 620,windows,1.20,133147
312,MSI,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1070,windows,2.80,111835
313,Acer,Notebook,15.60,Full HD 1920x1080,AMD, A8-Series 7410 ,2.2,8.0,256GB SSD,AMD, Radeon R5,windows,2.20,24988
314,Asus,2 in 1 Convertible,11.60,Touchscreen 1366x768,Intel, Celeron Dual Core N3350 ,1.1,2.0,32GB Flash Storage,Intel, HD Graphics 500,windows,1.10,14652
315,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,128GB SSD +  1TB HDD,AMD, Radeon 530,windows,2.30,44968
316,HP,2 in 1 Convertible,13.30,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel, Core i7 8550U ,1.8,16.0,1TB SSD,Intel, UHD Graphics 620,windows,1.30,130483
317,Lenovo,Notebook,13.30,1366x768,Intel, Celeron Dual Core 3855U ,1.6,4.0,16GB Flash Storage,Intel, HD Graphics 510,other,1.50,24503
318,HP,Notebook,14.00,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,windows,2.00,52214
319,Acer,Notebook,11.60,1366x768,Intel, Pentium Quad Core N3710 ,1.6,4.0,128GB Flash Storage,Intel, HD Graphics 405,windows,1.40,25841
320,HP,Notebook,14.00,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.50,68838
321,Lenovo,Notebook,17.30,1600x900,Intel, Core i5 7200U ,2.5,4.0,1TB HDD,Nvidia, GeForce 920MX,windows,2.80,31382
322,Asus,Notebook,14.00,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Intel, HD Graphics 620,windows,2.00,58288
323,HP,Notebook,15.60,IPS Panel Full HD 1366x768,Intel, Core i7 8550U ,1.8,8.0,1TB HDD,Intel, UHD Graphics 620,windows,2.10,48059
324,Acer,Notebook,15.60,1366x768,AMD, A12-Series 9720P ,2.7,8.0,256GB SSD,AMD, Radeon RX 540,windows,2.20,35112
325,Lenovo,Notebook,14.00,1366x768,Intel, Celeron Dual Core N3350 ,1.1,4.0,32GB Flash Storage,Intel, HD Graphics 500,windows,1.40,15558
326,Acer,Notebook,15.60,1366x768,Intel, Core i5 7200U ,2.5,6.0,1TB HDD,Intel, HD Graphics 620,windows,8.20,29251
327,Asus,Ultrabook,15.60,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Nvidia, GeForce 940MX,windows,1.70,55939
328,HP,Ultrabook,12.50,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.30,71129
329,Dell,Notebook,15.60,4K Ultra HD / Touchscreen 3840x2160,Intel, Core i7 7700HQ ,2.8,32.0,1TB SSD,Nvidia, GeForce GTX 1050,windows,2.10,140606
330,MSI,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050 Ti,windows,2.70,63883
331,Toshiba,Notebook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,windows,2.00,50243
332,Asus,Notebook,14.00,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD +  1TB HDD,Intel, HD Graphics 620,windows,2.00,71076
333,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,Intel, HD Graphics 520,windows,1.90,23923
334,Asus,Gaming,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,256GB SSD,Nvidia, GeForce GTX 1050,windows,2.50,53227
335,HP,Notebook,14.00,Full HD 1920x1080,Intel, Core i5 7300U ,2.6,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.50,67559
337,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.80,60952
338,Asus,Notebook,15.60,1366x768,Intel, Celeron Dual Core N3350 ,1.1,4.0,1TB HDD,Intel, HD Graphics 500,linux,2.00,14651
339,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Nvidia, GeForce 940MX,windows,2.00,60886
340,Dell,Notebook,15.60,1366x768,Intel, Celeron Dual Core N3060 ,1.6,4.0,500GB HDD,Intel, HD Graphics,linux,2.20,14647
341,Lenovo,Notebook,15.60,Full HD 1920x1080,AMD, A12-Series 9720P ,3.6,12.0,2TB HDD,AMD, Radeon 530,windows,2.20,47899
